2022-05-18 15:38:27,862 Config file found!
2022-05-18 15:38:27,884 Starting Conpot using template: /usr/lib/python3.9/site-packages/conpot/templates/kamstrup_382
2022-05-18 15:38:27,884 Starting Conpot using configuration found in: /etc/conpot/conpot.cfg
2022-05-18 15:38:27,995 Serving tar:///usr/lib/python3.9/site-packages/conpot/data.tar as file system. File uploads will be kept at : /tmp/conpot
2022-05-18 15:38:27,996 Opening path /tmp/conpot for persistent storage of files.
2022-05-18 15:38:28,018 Initializing Virtual File System at /tmp/conpot/__conpot__831c45zm. Source specified : tar:///usr/lib/python3.9/site-packages/conpot/data.tar
 Please wait while the system copies all specified files
2022-05-18 15:38:28,362 Fetched 34.121.180.85 as external ip.
2022-05-18 15:38:28,372 Kamstrup management protocol server initialized.
2022-05-18 15:38:28,372 Found and enabled kamstrup_management protocol.
2022-05-18 15:38:28,413 Kamstrup protocol server initialized.
2022-05-18 15:38:28,414 Found and enabled kamstrup_meter protocol.
2022-05-18 15:38:28,415 No proxy template found. Service will remain unconfigured/stopped.
2022-05-18 19:59:02,323 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x41
2022-05-18 19:59:02,323 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xb
2022-05-18 19:59:02,324 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x82
2022-05-18 19:59:02,324 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xda
2022-05-18 19:59:02,324 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x20
2022-05-18 19:59:02,324 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x48
2022-05-18 19:59:02,324 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xb3
2022-05-18 19:59:02,325 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x1
2022-05-18 19:59:02,325 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xa4
2022-05-18 19:59:02,325 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x2e
2022-05-18 19:59:02,325 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x52
2022-05-18 19:59:02,326 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x55
2022-05-18 19:59:02,326 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xe9
2022-05-18 19:59:02,326 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x17
2022-05-18 19:59:02,327 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x47
2022-05-18 19:59:02,327 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x1e
2022-05-18 19:59:02,327 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x82
2022-05-18 19:59:02,327 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xc0
2022-05-18 19:59:02,328 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x54
2022-05-18 19:59:02,328 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xcd
2022-05-18 19:59:02,328 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xb4
2022-05-18 19:59:02,328 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x67
2022-05-18 19:59:02,329 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x5f
2022-05-18 19:59:02,329 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x46
2022-05-18 19:59:02,329 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x73
2022-05-18 19:59:02,329 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x41
2022-05-18 19:59:02,330 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xc5
2022-05-18 19:59:02,330 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xeb
2022-05-18 19:59:02,330 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x7e
2022-05-18 19:59:02,330 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xcd
2022-05-18 19:59:02,331 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xe8
2022-05-18 19:59:02,331 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x91
2022-05-18 19:59:02,331 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xfe
2022-05-18 19:59:02,331 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x6
2022-05-18 19:59:02,331 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xf5
2022-05-18 19:59:02,332 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x9e
2022-05-18 19:59:02,332 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xa2
2022-05-18 19:59:02,332 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,332 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x26
2022-05-18 19:59:02,333 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xcc
2022-05-18 19:59:02,333 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xa8
2022-05-18 19:59:02,333 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xcc
2022-05-18 19:59:02,334 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xa9
2022-05-18 19:59:02,334 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xc0
2022-05-18 19:59:02,334 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x2f
2022-05-18 19:59:02,334 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xc0
2022-05-18 19:59:02,334 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x30
2022-05-18 19:59:02,335 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xc0
2022-05-18 19:59:02,335 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x2b
2022-05-18 19:59:02,335 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xc0
2022-05-18 19:59:02,335 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x2c
2022-05-18 19:59:02,335 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xc0
2022-05-18 19:59:02,336 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x13
2022-05-18 19:59:02,336 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xc0
2022-05-18 19:59:02,336 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x9
2022-05-18 19:59:02,336 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xc0
2022-05-18 19:59:02,337 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x14
2022-05-18 19:59:02,337 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xc0
2022-05-18 19:59:02,337 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xa
2022-05-18 19:59:02,337 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,338 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x9c
2022-05-18 19:59:02,338 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,338 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x9d
2022-05-18 19:59:02,338 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,339 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x2f
2022-05-18 19:59:02,339 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,339 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x35
2022-05-18 19:59:02,339 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xc0
2022-05-18 19:59:02,339 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x12
2022-05-18 19:59:02,340 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,340 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xa
2022-05-18 19:59:02,340 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x13
2022-05-18 19:59:02,340 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x3
2022-05-18 19:59:02,341 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x13
2022-05-18 19:59:02,341 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x1
2022-05-18 19:59:02,341 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x13
2022-05-18 19:59:02,341 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x2
2022-05-18 19:59:02,342 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x1
2022-05-18 19:59:02,342 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,342 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,342 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x7b
2022-05-18 19:59:02,343 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,343 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x5
2022-05-18 19:59:02,343 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,343 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x5
2022-05-18 19:59:02,344 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x1
2022-05-18 19:59:02,344 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,344 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,344 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,345 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,345 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,345 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xa
2022-05-18 19:59:02,345 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,345 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xa
2022-05-18 19:59:02,346 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,346 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x8
2022-05-18 19:59:02,346 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,346 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x1d
2022-05-18 19:59:02,347 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,347 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x17
2022-05-18 19:59:02,347 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,347 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x18
2022-05-18 19:59:02,348 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,348 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x19
2022-05-18 19:59:02,348 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,348 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xb
2022-05-18 19:59:02,349 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,349 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x2
2022-05-18 19:59:02,349 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x1
2022-05-18 19:59:02,349 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,349 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,350 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xd
2022-05-18 19:59:02,350 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,350 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x1a
2022-05-18 19:59:02,350 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,351 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x18
2022-05-18 19:59:02,351 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x8
2022-05-18 19:59:02,351 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x4
2022-05-18 19:59:02,351 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x4
2022-05-18 19:59:02,352 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x3
2022-05-18 19:59:02,352 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x8
2022-05-18 19:59:02,352 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x7
2022-05-18 19:59:02,352 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x8
2022-05-18 19:59:02,353 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x5
2022-05-18 19:59:02,353 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x8
2022-05-18 19:59:02,353 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x6
2022-05-18 19:59:02,353 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x4
2022-05-18 19:59:02,354 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x1
2022-05-18 19:59:02,354 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x5
2022-05-18 19:59:02,354 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x1
2022-05-18 19:59:02,354 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x6
2022-05-18 19:59:02,355 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x1
2022-05-18 19:59:02,355 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x5
2022-05-18 19:59:02,355 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x3
2022-05-18 19:59:02,355 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x6
2022-05-18 19:59:02,356 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x3
2022-05-18 19:59:02,356 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x2
2022-05-18 19:59:02,356 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x1
2022-05-18 19:59:02,356 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x2
2022-05-18 19:59:02,356 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x3
2022-05-18 19:59:02,357 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xff
2022-05-18 19:59:02,357 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x1
2022-05-18 19:59:02,357 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,357 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x1
2022-05-18 19:59:02,358 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,358 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,358 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x12
2022-05-18 19:59:02,358 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,359 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,359 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,359 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x2b
2022-05-18 19:59:02,359 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,360 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x9
2022-05-18 19:59:02,360 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x8
2022-05-18 19:59:02,360 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x3
2022-05-18 19:59:02,360 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x4
2022-05-18 19:59:02,361 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x3
2022-05-18 19:59:02,361 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x3
2022-05-18 19:59:02,361 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x3
2022-05-18 19:59:02,361 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x2
2022-05-18 19:59:02,362 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x3
2022-05-18 19:59:02,362 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x1
2022-05-18 19:59:02,362 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,362 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x33
2022-05-18 19:59:02,362 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,363 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x26
2022-05-18 19:59:02,363 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,363 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x24
2022-05-18 19:59:02,363 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,364 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x1d
2022-05-18 19:59:02,364 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x0
2022-05-18 19:59:02,364 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x20
2022-05-18 19:59:02,364 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x89
2022-05-18 19:59:02,365 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x4a
2022-05-18 19:59:02,365 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x9b
2022-05-18 19:59:02,365 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xef
2022-05-18 19:59:02,365 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xa
2022-05-18 19:59:02,366 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xb4
2022-05-18 19:59:02,366 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x5
2022-05-18 19:59:02,366 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x69
2022-05-18 19:59:02,366 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x85
2022-05-18 19:59:02,367 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xa1
2022-05-18 19:59:02,367 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x9d
2022-05-18 19:59:02,367 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x8c
2022-05-18 19:59:02,367 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xfe
2022-05-18 19:59:02,367 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x6c
2022-05-18 19:59:02,368 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xf3
2022-05-18 19:59:02,368 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xb1
2022-05-18 19:59:02,368 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xee
2022-05-18 19:59:02,368 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x8b
2022-05-18 19:59:02,369 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x8
2022-05-18 19:59:02,369 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xcf
2022-05-18 19:59:02,369 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xdc
2022-05-18 19:59:02,369 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x32
2022-05-18 19:59:02,370 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xfc
2022-05-18 19:59:02,370 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xd5
2022-05-18 19:59:02,370 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x28
2022-05-18 19:59:02,370 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x38
2022-05-18 19:59:02,371 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x31
2022-05-18 19:59:02,371 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xdb
2022-05-18 19:59:02,371 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xbb
2022-05-18 19:59:02,371 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xc7
2022-05-18 19:59:02,371 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xe2
2022-05-18 19:59:02,372 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x64
2022-05-18 19:59:05,349 New Kamstrup connection from 162.142.125.220:57838. (2dbb072d-2c5f-4a6f-b268-ee0a4ee95533)
2022-05-18 19:59:06,477 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x47
2022-05-18 19:59:06,477 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x45
2022-05-18 19:59:06,477 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x54
2022-05-18 19:59:06,478 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x20
2022-05-18 19:59:06,478 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x2f
2022-05-18 19:59:06,478 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x20
2022-05-18 19:59:06,478 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x48
2022-05-18 19:59:06,479 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x54
2022-05-18 19:59:06,479 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x54
2022-05-18 19:59:06,479 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x50
2022-05-18 19:59:06,479 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x2f
2022-05-18 19:59:06,480 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x31
2022-05-18 19:59:06,480 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x2e
2022-05-18 19:59:06,480 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x31
2022-05-18 19:59:06,480 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xd
2022-05-18 19:59:06,481 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0xa
2022-05-18 19:59:06,481 Kamstrup skipping byte, expected kamstrup_meter request magic but got: 0x48
